tSNE1	tSNE2	Type	Embryo	APcluster	Merge_Type	APcluster_Merge
HE8W_CTB2_sc29	5.42334576097209	20.9067721720199	HE8W_CTB	E1	6	CTB	6
HE8W_CTB2_sc3	-24.8141507221575	5.20103449590429	HE8W_CTB	E1	5	Marc	5
HE8W_CTB2_sc30	-24.2668924477265	6.58938891297268	HE8W_CTB	E1	5	Marc	5
HE8W_CTB2_sc31	7.13206626779241	25.1885968270438	HE8W_CTB	E1	4	CTB	4
HE8W_CTB2_sc32	7.20420711468902	24.4138774265366	HE8W_CTB	E1	4	CTB	4
HE8W_CTB2_sc33	-25.2841551568705	4.00733348904496	HE8W_CTB	E1	5	Marc	5
HE8W_CTB2_sc35	8.34137293773656	23.4776614277349	HE8W_CTB	E1	4	CTB	4
HE8W_CTB2_sc36	7.95642324045943	20.4662547618176	HE8W_CTB	E1	4	CTB	4
HE8W_CTB2_sc37	14.1521007071577	20.9608046147091	HE8W_CTB	E1	3	CTB	3
HE8W_CTB2_sc38	8.22462563909832	22.2703878214762	HE8W_CTB	E1	4	CTB	4
HE8W_CTB2_sc39	4.97681536254218	21.1807270522385	HE8W_CTB	E1	6	CTB	6
HE8W_CTB2_sc4	9.21843292973676	24.6129940430408	HE8W_CTB	E1	4	CTB	4
HE8W_CTB2_sc40	0.12575536733218	8.45294094497002	HE8W_CTB	E1	9	EVT_8W	8
HE8W_CTB2_sc41	12.9461608052959	21.1105450998528	HE8W_CTB	E1	3	CTB	3
HE8W_CTB2_sc42	-24.8778962850034	4.88583571562125	HE8W_CTB	E1	5	Marc	5
HE8W_CTB2_sc43	0.151665435354537	8.40280610516104	HE8W_CTB	E1	9	EVT_8W	8
HE8W_CTB2_sc44	-14.6241928248218	6.07267342026784	HE8W_CTB	E1	15	Marc	15
HE8W_CTB2_sc45	0.120600225469996	8.01390455580545	HE8W_CTB	E1	9	EVT_8W	8
HE8W_CTB2_sc46	12.8382955826662	20.9298985110684	HE8W_CTB	E1	3	CTB	3
HE8W_CTB2_sc47	22.6259107003402	9.65297029009839	HE8W_CTB	E1	12	STB	12
HE8W_CTB2_sc48	9.26930840037751	22.0653672216739	HE8W_CTB	E1	4	CTB	4
HE8W_CTB2_sc49	12.9477763204036	20.9671535150029	HE8W_CTB	E1	3	CTB	3
HE8W_CTB2_sc5	-25.7472268030615	6.81608905230458	HE8W_CTB	E1	5	Marc	5
HE8W_CTB2_sc50	-3.15145795130992	-10.2335426060128	HE8W_CTB	E1	10	EVT_8W	7
HE8W_CTB2_sc51	6.86136946406168	21.11467391412	HE8W_CTB	E1	4	CTB	4
HE8W_CTB2_sc52	6.27981723499755	21.0889763147636	HE8W_CTB	E1	6	CTB	6
HE8W_CTB2_sc53	-24.3498505972698	7.14692351836168	HE8W_CTB	E1	5	Marc	5
HE8W_CTB2_sc54	11.1047013932453	24.7929942068489	HE8W_CTB	E1	4	CTB	4
HE8W_CTB2_sc55	7.24788014293562	23.1658093300234	HE8W_CTB	E1	4	CTB	4
HE8W_CTB2_sc56	11.4528739172265	23.5888751094826	HE8W_CTB	E1	4	CTB	4
HE8W_CTB2_sc57	6.96763223902397	25.2851980701338	HE8W_CTB	E1	4	CTB	4
HE8W_CTB2_sc58	7.37237606022998	24.4139759868696	HE8W_CTB	E1	4	CTB	4
HE8W_CTB2_sc59	10.561613499236	22.5699427228824	HE8W_CTB	E1	4	CTB	4
HE8W_CTB2_sc6	17.7274152670813	19.1971137212045	HE8W_CTB	E1	3	CTB	3
HE8W_CTB2_sc60	8.12890494735415	23.2048526441438	HE8W_CTB	E1	4	CTB	4
HE8W_CTB2_sc61	7.29672362137001	22.7150653422268	HE8W_CTB	E1	4	CTB	4
HE8W_CTB2_sc62	8.29734796070817	23.8302975138738	HE8W_CTB	E1	4	CTB	4
HE8W_CTB2_sc63	8.5837544952572	21.022800248621	HE8W_CTB	E1	4	CTB	4
HE8W_CTB2_sc64	19.6756169614079	18.7868232207839	HE8W_CTB	E1	3	CTB	3
HE8W_CTB2_sc65	12.0258640131796	23.0749625575034	HE8W_CTB	E1	4	CTB	4
HE8W_CTB2_sc66	10.9060392669559	25.8868521172182	HE8W_CTB	E1	4	CTB	4
HE8W_CTB2_sc67	6.3538858036916	25.0776575896195	HE8W_CTB	E1	4	CTB	4
HE8W_CTB2_sc68	-2.70268721146825	-5.89631839894294	HE8W_CTB	E1	10	EVT_8W	7
HE8W_CTB2_sc69	17.2831790613235	19.4674333672623	HE8W_CTB	E1	3	CTB	3
HE8W_CTB2_sc7	7.80419209030547	24.2591997772756	HE8W_CTB	E1	4	CTB	4
HE8W_CTB2_sc70	-22.2515288875651	5.58462005765793	HE8W_CTB	E1	5	Marc	5
HE8W_CTB2_sc71	7.67002001208434	24.6437289743032	HE8W_CTB	E1	4	CTB	4
